date,CumulativeReturns
2021-06-27,
2021-07-04,1.0383542065457458
2021-07-11,1.0934503959838116
2021-07-18,1.1605195212485393
2021-07-25,1.1908579361279512
2021-08-01,1.2509766523106625
2021-08-08,1.260362274668301
2021-08-15,1.254426527462786
2021-08-22,1.253107417479297
2021-08-29,1.4514230316974697
2021-09-05,1.475267585795254
2021-09-12,1.4934808407945106
2021-09-19,1.4356451138339277
2021-09-26,1.3790269315811094
2021-10-03,1.3915579809838838
2021-10-10,1.4957130473787767
2021-10-17,1.3082542656951328
2021-10-24,1.2814671673834759
2021-10-31,1.3134290164932716
2021-11-07,1.3928263083295103
2021-11-14,1.3930799737986355
2021-11-21,1.3466591929486937
2021-11-28,1.4035310406706372
2021-12-05,1.4126122149212883
2021-12-12,1.3392014529284266
2021-12-19,1.381005596556342
2021-12-26,1.4174826414725323
2022-01-02,1.3884633365766093
2022-01-09,1.3645679998409632
2022-01-16,1.2597535023144184
2022-01-23,1.158997528433787
2022-01-30,1.2272843222663719
2022-02-06,1.1919740394200844
2022-02-13,1.218913361785235
2022-02-20,1.1855309612763187
2022-02-27,1.0998934741275774
2022-03-06,1.1086195414934714
2022-03-13,1.1639186137628006
2022-03-20,1.165389947799783
2022-03-27,1.1902998225518384
2022-04-03,1.286540476765983
2022-04-10,1.2923747825558665
2022-04-17,1.3355994775829023
2022-04-24,1.3310334991386457
2022-05-01,1.256709516684914
2022-05-08,1.253056634841435
2022-05-15,1.2473745531050453
2022-05-22,1.1986707830329755
2022-05-29,1.1731013532891759
2022-06-05,1.1399218356115228
2022-06-12,1.0853331009718
2022-06-19,1.123078473233617
2022-06-26,1.127543010262242
2022-07-03,1.2364669379326547
2022-07-10,1.2740094273632085
2022-07-17,1.2444320088911727
2022-07-24,1.2676677906350746
2022-07-31,1.3083050483329948
2022-08-07,1.3161686778758812
2022-08-14,1.3697935332769646
2022-08-21,1.3430572176031697
2022-08-28,1.4025671614319986
2022-09-04,1.3658363271865905
2022-09-11,1.3214448700896517
2022-09-18,1.325604959011289
2022-09-25,1.368322323100074
2022-10-02,1.3705545296843402
2022-10-09,1.2718786621945737
2022-10-16,1.1830449653628343
2022-10-23,1.2047587542919838
2022-10-30,1.2266754260523967
2022-11-06,1.2545786276561866
2022-11-13,1.2394602647843886
2022-11-20,1.2647760290590628
2022-11-27,1.2571152823474399
2022-12-04,1.199330338024719
2022-12-11,1.170666140013553
2022-12-18,1.116939843196838
2022-12-25,1.1160772815137379
2023-01-01,1.2099842877279845
2023-01-08,1.1897924916135871
2023-01-15,1.1705139159600595
2023-01-22,1.1883719402144666
2023-01-29,1.2144488247566092
2023-02-05,1.2185581310403846
2023-02-12,1.2450409051051463
2023-02-19,1.1982142347325857
2023-02-26,1.2227183438221143
2023-03-05,1.233625958994505
2023-03-12,1.2106945014974981
2023-03-19,1.198772224448606
2023-03-26,1.2059256402219785
2023-04-02,1.2120643941188491
2023-04-09,1.2035918683619882
2023-04-16,1.2263711018055012
2023-04-23,1.2482369909280522
2023-04-30,1.304652290349607
2023-05-07,1.3250976280730373
2023-05-14,1.2780174160914437
2023-05-21,1.3080513828638682
2023-05-28,1.3509715059238243
2023-06-04,1.3655826617174638
2023-06-11,1.370655971099971
2023-06-18,1.3037897286665068
2023-06-25,1.3093197102094951
