date,CumulativeReturns
2021-06-27,
2021-07-04,0.9893959862421867
2021-07-11,0.9783309375839577
2021-07-18,0.9774088677831261
2021-07-25,0.9511294563629255
2021-08-01,0.9764867979822944
2021-08-08,0.9649607144236495
2021-08-15,0.9543568061899608
2021-08-22,0.9769478328827101
2021-08-29,1.0428768788834195
2021-09-05,1.0401105639568
2021-09-12,1.0903642122951223
2021-09-19,1.0811433032385565
2021-09-26,1.1747348653607141
2021-10-03,1.2153065697420546
2021-10-10,1.2392807011360516
2021-10-17,1.2051635908846572
2021-10-24,1.1798063547894129
2021-10-31,1.2415858756381306
2021-11-07,1.2259104779757433
2021-11-14,1.1927154375251805
2021-11-21,1.1152604134899506
2021-11-28,1.1267864970485957
2021-12-05,1.1069616797583413
2021-12-12,1.040571598857216
2021-12-19,1.016597467463219
2021-12-26,1.0281235510218638
2022-01-02,1.0926693867972013
2022-01-09,1.1369293703818684
2022-01-16,1.1221760425203127
2022-01-23,1.1443060343126463
2022-01-30,1.1447670692130623
2022-02-06,1.1254033923473483
2022-02-13,1.1171045530916142
2022-02-20,1.0359612498530577
2022-02-27,1.0442599835846673
2022-03-06,1.14061775510932
2022-03-13,1.1189487982174022
2022-03-20,1.0954355961996967
2022-03-27,1.1258644272477645
2022-04-03,1.1705854457328475
2022-04-10,1.1793452143648728
2022-04-17,1.238819666235636
2022-04-24,1.161825677100822
2022-05-01,1.1641308516029012
2022-05-08,1.1184877633169865
2022-05-15,1.0783770938360617
2022-05-22,1.052558717316277
2022-05-29,1.0908252471955384
2022-06-05,1.0811433032385567
2022-06-12,0.9608114003199071
2022-06-19,1.000461034900416
2022-06-26,1.0311203306366292
2022-07-03,1.0055324188049901
2022-07-10,0.9730289834671134
2022-07-17,0.9979252901860666
2022-07-24,1.008990233320171
2022-07-31,1.0110649431341046
2022-08-07,0.989626556454457
2022-08-14,0.9979252901860665
2022-08-21,0.9944674756708854
2022-08-28,0.986168741939276
2022-09-04,1.0034578145151811
2022-09-11,0.9674964591379989
2022-09-18,0.9329183139861887
2022-09-25,0.9260026849558267
2022-10-02,0.9329183139861887
2022-10-09,0.9170124516356558
2022-10-16,0.9336099190988748
2022-10-23,0.9467495720469128
2022-10-30,0.9474411771595987
2022-11-06,0.9647302497355038
2022-11-13,0.9578146207051418
2022-11-20,1.0145227576492857
2022-11-27,1.0650068706757534
2022-12-04,1.0650068706757534
2022-12-11,1.0643152655630674
2022-12-18,1.0096818384328572
2022-12-25,1.0580912416453914
2023-01-01,1.1071922499706115
2023-01-08,1.1383125806072405
2023-01-15,1.1466113143388499
2023-01-22,1.1203319029186494
2023-01-29,1.085062152654153
2023-02-05,1.1037344354554304
2023-02-12,1.1141078790009735
2023-02-19,1.0698477898921819
2023-02-26,1.0816043381389726
2023-03-05,1.0912862820959541
2023-03-12,1.0968188064250686
2023-03-19,1.0843706530655919
2023-03-26,1.0774550240352299
2023-04-02,1.0746887091086104
2023-04-09,1.0677730800782483
2023-04-16,1.0822959432516583
2023-04-23,1.125864427247764
2023-04-30,1.1452282096376027
2023-05-07,1.1556016531831457
2023-05-14,1.1901797983349558
2023-05-21,1.2475794348676612
2023-05-28,1.242047016062671
2023-06-04,1.248962645093033
2023-06-11,1.2745504514005477
2023-06-18,1.2351313870323088
2023-06-25,1.2385892015474897
