date,CumulativeReturns
2021-06-27,
2021-07-04,0.9506172348238869
2021-07-11,0.9581079051404147
2021-07-18,0.9520043897221168
2021-07-25,1.057705609900276
2021-08-01,0.9869607100905525
2021-08-08,0.9667082824424829
2021-08-15,0.990844726872553
2021-08-22,1.0264946246901037
2021-08-29,1.0264946246901037
2021-09-05,1.0123456277951157
2021-09-12,0.9930642255088501
2021-09-19,0.998474078812817
2021-09-26,1.0160909629533796
2021-10-03,1.0335690808049898
2021-10-10,1.0489665509744706
2021-10-17,0.8571230454823229
2021-10-24,0.9070606218185983
2021-10-31,0.9346649534942431
2021-11-07,0.9422943054345074
2021-11-14,0.875572188695737
2021-11-21,0.8872242390417383
2021-11-28,0.8967956417056109
2021-12-05,0.9282840748284722
2021-12-12,0.875572188695737
2021-12-19,0.901789365473152
2021-12-26,1.0195588501989543
2022-01-02,1.1609099681946646
2022-01-09,1.225273904673401
2022-01-16,1.17214588900424
2022-01-23,1.171868441091551
2022-01-30,1.217228423196711
2022-02-06,1.1847689647120458
2022-02-13,1.112775676293045
2022-02-20,1.087251992299529
2022-02-27,1.1670133989477465
2022-03-06,1.3520598962376975
2022-03-13,1.3298654178660196
2022-03-20,1.3276459192297223
2022-03-27,1.3395755021536286
2022-04-03,1.4178109876146638
2022-04-10,1.3398529500663179
2022-04-17,1.372312323885767
2022-04-24,1.2292966877443539
2022-05-01,1.1478706782852173
2022-05-08,1.0897488541832996
2022-05-15,1.1740879397278483
2022-05-22,1.108336763685666
2022-05-29,1.1138853832785856
2022-06-05,1.1210986056824241
2022-06-12,1.012345627795116
2022-06-19,1.0314883484576451
2022-06-26,1.0034678872455745
2022-07-03,0.9796088060629773
2022-07-10,1.0215009009225626
2022-07-17,1.0574281619875867
2022-07-24,1.0961298175142866
2022-07-31,0.9728117131955648
2022-08-07,0.9413232800727035
2022-08-14,0.9416007279853926
2022-08-21,0.9735052906446796
2022-08-28,1.001664518145703
2022-09-04,1.0339852950066317
2022-09-11,0.992509329683472
2022-09-18,1.0008322590728511
2022-09-25,0.9646275500951379
2022-10-02,1.0069357744911491
2022-10-09,0.969621273862679
2022-10-16,0.924261291757519
2022-10-23,0.8601747185262559
2022-10-30,0.9367456858415879
2022-11-06,0.9126092414115178
2022-11-13,0.9739214201811053
2022-11-20,1.042169458107058
2022-11-27,1.0729643137808043
2022-12-04,1.0486891030617815
2022-12-11,1.0928006118924483
2022-12-18,1.066028539289655
2022-12-25,1.1007074117454014
2023-01-01,1.0671382462751953
2023-01-08,1.0934941893415628
2023-01-15,1.0808711136337574
2023-01-22,1.0099874475350816
2023-01-29,1.0144263601424603
2023-02-05,1.0086002926368518
2023-02-12,1.0359272610650232
2023-02-19,0.9993064225508842
2023-02-26,1.0137327826933453
2023-03-05,1.1079206341492398
2023-03-12,1.073935339142608
2023-03-19,1.022610607908103
2023-03-26,1.0979331019489418
2023-04-02,1.1419059291558717
2023-04-09,1.1206824761459981
2023-04-16,1.1531418499654473
2023-04-23,1.1527257204290215
2023-04-30,1.1520321429799065
2023-05-07,1.0725481842443783
2023-05-14,1.0769870968517572
2023-05-21,1.081842138995562
2023-05-28,1.0876681218359545
2023-06-04,1.122763208493343
2023-06-11,1.0983492314853676
2023-06-18,1.0837841050539538
2023-06-25,1.0762935194026424
