date,open,high,low,close,adjclose,volume,ticker
2021-06-27,2148.0,2194.0,2135.25,2178.85009765625,2161.567626953125,1523749,PIDILITIND.NS
2021-07-04,2191.949951171875,2302.0,2180.699951171875,2277.800048828125,2259.73291015625,3121930,PIDILITIND.NS
2021-07-11,2287.0,2298.39990234375,2237.0,2244.199951171875,2226.3994140625,1393007,PIDILITIND.NS
2021-07-18,2234.0,2333.949951171875,2232.0,2306.60009765625,2288.3046875,1339733,PIDILITIND.NS
2021-07-25,2309.64990234375,2332.949951171875,2271.14990234375,2278.800048828125,2260.72509765625,1248791,PIDILITIND.NS
2021-08-01,2299.89990234375,2303.050048828125,2205.050048828125,2223.300048828125,2213.771484375,2281197,PIDILITIND.NS
2021-08-08,2240.0,2288.0,2175.449951171875,2206.699951171875,2197.24267578125,3505056,PIDILITIND.NS
2021-08-15,2202.89990234375,2285.0,2175.050048828125,2267.199951171875,2257.4833984375,2144438,PIDILITIND.NS
2021-08-22,2279.949951171875,2295.0,2187.85009765625,2225.199951171875,2215.663330078125,2019707,PIDILITIND.NS
2021-08-29,2237.949951171875,2362.0,2215.0,2327.39990234375,2317.42529296875,3790482,PIDILITIND.NS
2021-09-05,2336.39990234375,2362.0,2281.800048828125,2348.25,2338.18603515625,1516149,PIDILITIND.NS
2021-09-12,2350.0,2424.89990234375,2344.050048828125,2368.449951171875,2358.29931640625,2855753,PIDILITIND.NS
2021-09-19,2366.800048828125,2477.699951171875,2351.050048828125,2451.949951171875,2441.44140625,2203842,PIDILITIND.NS
2021-09-26,2455.0,2463.800048828125,2365.199951171875,2417.25,2406.890380859375,1711227,PIDILITIND.NS
2021-10-03,2431.0,2476.39990234375,2406.60009765625,2441.60009765625,2431.135986328125,1377083,PIDILITIND.NS
2021-10-10,2441.5,2518.5,2430.75,2481.10009765625,2470.466796875,1062133,PIDILITIND.NS
2021-10-17,2477.050048828125,2532.0,2279.0,2316.39990234375,2306.472412109375,1937751,PIDILITIND.NS
2021-10-24,2323.0,2413.949951171875,2250.0,2313.64990234375,2303.734130859375,2107637,PIDILITIND.NS
2021-10-31,2332.60009765625,2415.0,2317.25,2408.0,2397.679931640625,812333,PIDILITIND.NS
2021-11-07,2424.800048828125,2490.0,2343.0,2426.199951171875,2415.8017578125,4416098,PIDILITIND.NS
2021-11-14,2445.39990234375,2462.75,2375.60009765625,2439.60009765625,2429.14453125,1621316,PIDILITIND.NS
2021-11-21,2439.449951171875,2443.85009765625,2214.0,2232.300048828125,2222.73291015625,2627765,PIDILITIND.NS
2021-11-28,2225.0,2258.89990234375,2171.85009765625,2208.449951171875,2198.985107421875,4636871,PIDILITIND.NS
2021-12-05,2221.800048828125,2340.25,2199.949951171875,2325.75,2315.782470703125,3368682,PIDILITIND.NS
2021-12-12,2339.699951171875,2423.64990234375,2330.14990234375,2391.449951171875,2381.20068359375,4177477,PIDILITIND.NS
2021-12-19,2388.0,2453.0,2329.25,2410.199951171875,2399.870361328125,2170369,PIDILITIND.NS
2021-12-26,2401.10009765625,2489.0,2393.800048828125,2462.800048828125,2452.2451171875,1190724,PIDILITIND.NS
2022-01-02,2475.0,2734.5,2465.0,2723.449951171875,2711.77783203125,4340281,PIDILITIND.NS
2022-01-09,2740.0,2764.699951171875,2650.0,2700.550048828125,2688.97607421875,1722606,PIDILITIND.NS
2022-01-16,2700.550048828125,2737.25,2656.10009765625,2700.60009765625,2689.02587890625,2883951,PIDILITIND.NS
2022-01-23,2714.89990234375,2721.35009765625,2447.699951171875,2475.800048828125,2465.189453125,4819117,PIDILITIND.NS
2022-01-30,2523.0,2560.0,2440.0,2481.800048828125,2471.16357421875,2882241,PIDILITIND.NS
2022-02-06,2468.0,2498.25,2402.550048828125,2432.25,2421.825927734375,1861349,PIDILITIND.NS
2022-02-13,2399.0,2460.0,2365.39990234375,2430.699951171875,2420.282470703125,1335459,PIDILITIND.NS
2022-02-20,2413.0,2453.300048828125,2291.0,2369.050048828125,2358.89697265625,2029647,PIDILITIND.NS
2022-02-27,2364.0,2414.10009765625,2230.0,2260.949951171875,2251.260009765625,2446043,PIDILITIND.NS
2022-03-06,2222.85009765625,2364.699951171875,2133.550048828125,2338.14990234375,2328.129150390625,2964774,PIDILITIND.NS
2022-03-13,2350.0,2534.949951171875,2317.64990234375,2510.39990234375,2499.640869140625,2448743,PIDILITIND.NS
2022-03-20,2445.0,2543.85009765625,2405.0,2456.449951171875,2445.922119140625,2023412,PIDILITIND.NS
2022-03-27,2463.949951171875,2492.0,2386.10009765625,2485.89990234375,2475.245849609375,1891717,PIDILITIND.NS
2022-04-03,2495.0,2558.64990234375,2481.050048828125,2525.14990234375,2514.32763671875,1376121,PIDILITIND.NS
2022-04-10,2525.0,2538.75,2349.14990234375,2366.050048828125,2355.90966796875,2138245,PIDILITIND.NS
2022-04-17,2359.89990234375,2439.39990234375,2305.0,2426.39990234375,2416.0009765625,1672439,PIDILITIND.NS
2022-04-24,2421.0,2467.0,2384.800048828125,2423.699951171875,2413.3125,1525494,PIDILITIND.NS
2022-05-01,2414.800048828125,2430.85009765625,2218.0,2236.5,2226.914794921875,1477356,PIDILITIND.NS
2022-05-08,2200.0,2243.5,2105.10009765625,2121.75,2112.65673828125,1775310,PIDILITIND.NS
2022-05-15,2139.0,2175.10009765625,2050.0,2139.449951171875,2130.28076171875,2763092,PIDILITIND.NS
2022-05-22,2155.0,2229.0,2102.550048828125,2163.5,2154.227783203125,2277951,PIDILITIND.NS
2022-05-29,2203.25,2290.85009765625,2185.39990234375,2195.60009765625,2186.190185546875,2551333,PIDILITIND.NS
2022-06-05,2203.800048828125,2206.5,2063.25,2108.800048828125,2099.76220703125,1631657,PIDILITIND.NS
2022-06-12,2052.050048828125,2150.0,1988.550048828125,1999.449951171875,1990.880859375,2415586,PIDILITIND.NS
2022-06-19,2018.5,2178.949951171875,2010.6500244140625,2169.25,2159.953125,2903107,PIDILITIND.NS
2022-06-26,2185.0,2189.199951171875,2079.0,2158.35009765625,2149.099853515625,1956685,PIDILITIND.NS
2022-07-03,2151.10009765625,2273.10009765625,2151.10009765625,2250.85009765625,2241.20361328125,1598043,PIDILITIND.NS
2022-07-10,2259.949951171875,2320.0,2235.550048828125,2307.64990234375,2297.759765625,1490114,PIDILITIND.NS
2022-07-17,2317.0,2378.25,2270.0,2357.75,2347.645263671875,1340780,PIDILITIND.NS
2022-07-24,2358.0,2460.0,2271.949951171875,2451.25,2440.74462890625,1719440,PIDILITIND.NS
2022-07-31,2471.800048828125,2649.64990234375,2456.89990234375,2640.85009765625,2640.85009765625,2382959,PIDILITIND.NS
2022-08-07,2650.0,2678.050048828125,2610.0,2622.5,2622.5,2585785,PIDILITIND.NS
2022-08-14,2622.5,2743.300048828125,2622.5,2720.800048828125,2720.800048828125,1992371,PIDILITIND.NS
2022-08-21,2700.0,2706.89990234375,2633.25,2666.89990234375,2666.89990234375,1476066,PIDILITIND.NS
2022-08-28,2600.0,2895.0,2596.10009765625,2866.699951171875,2866.699951171875,2474711,PIDILITIND.NS
2022-09-04,2875.0,2893.0,2792.10009765625,2844.14990234375,2844.14990234375,1578508,PIDILITIND.NS
2022-09-11,2855.0,2918.949951171875,2788.10009765625,2799.050048828125,2799.050048828125,2251977,PIDILITIND.NS
2022-09-18,2799.050048828125,2883.550048828125,2750.0,2800.64990234375,2800.64990234375,1424431,PIDILITIND.NS
2022-09-25,2780.0,2843.75,2670.0,2690.300048828125,2690.300048828125,3205361,PIDILITIND.NS
2022-10-02,2690.0,2714.0,2636.85009765625,2662.60009765625,2662.60009765625,1227282,PIDILITIND.NS
2022-10-09,2624.199951171875,2672.75,2593.25,2619.75,2619.75,874065,PIDILITIND.NS
2022-10-16,2632.85009765625,2737.5,2625.199951171875,2637.699951171875,2637.699951171875,2383633,PIDILITIND.NS
2022-10-23,2665.0,2670.0,2545.5,2560.550048828125,2560.550048828125,1356060,PIDILITIND.NS
2022-10-30,2563.0,2663.050048828125,2553.60009765625,2648.0,2648.0,1915524,PIDILITIND.NS
2022-11-06,2647.0,2685.0,2600.0,2661.199951171875,2661.199951171875,1765659,PIDILITIND.NS
2022-11-13,2650.0,2714.0,2640.0,2699.25,2699.25,1627768,PIDILITIND.NS
2022-11-20,2710.14990234375,2718.39990234375,2653.199951171875,2662.10009765625,2662.10009765625,1113472,PIDILITIND.NS
2022-11-27,2662.10009765625,2787.5,2662.10009765625,2736.199951171875,2736.199951171875,2447991,PIDILITIND.NS
2022-12-04,2728.10009765625,2796.0,2694.0,2739.64990234375,2739.64990234375,1766801,PIDILITIND.NS
2022-12-11,2735.0,2737.35009765625,2558.0,2592.89990234375,2592.89990234375,1534097,PIDILITIND.NS
2022-12-18,2591.0,2605.699951171875,2483.14990234375,2490.25,2490.25,968116,PIDILITIND.NS
2022-12-25,2480.0,2721.10009765625,2461.550048828125,2550.14990234375,2550.14990234375,1717691,PIDILITIND.NS
2023-01-01,2555.0,2560.0,2504.10009765625,2522.300048828125,2522.300048828125,1228781,PIDILITIND.NS
2023-01-08,2534.949951171875,2563.949951171875,2462.800048828125,2505.14990234375,2505.14990234375,1060935,PIDILITIND.NS
2023-01-15,2509.0,2516.85009765625,2395.0,2402.60009765625,2402.60009765625,1491641,PIDILITIND.NS
2023-01-22,2409.0,2428.0,2257.0,2290.64990234375,2290.64990234375,1792636,PIDILITIND.NS
2023-01-29,2304.949951171875,2348.949951171875,2252.800048828125,2341.550048828125,2341.550048828125,1934884,PIDILITIND.NS
2023-02-05,2353.300048828125,2353.300048828125,2301.0,2316.14990234375,2316.14990234375,1127667,PIDILITIND.NS
2023-02-12,2301.050048828125,2342.10009765625,2278.0,2333.10009765625,2333.10009765625,1218612,PIDILITIND.NS
2023-02-19,2341.85009765625,2342.0,2250.050048828125,2275.699951171875,2275.699951171875,1702610,PIDILITIND.NS
2023-02-26,2265.0,2330.0,2261.0,2318.75,2318.75,1374240,PIDILITIND.NS
2023-03-05,2330.60009765625,2369.64990234375,2275.0,2313.5,2313.5,1029534,PIDILITIND.NS
2023-03-12,2306.0,2364.199951171875,2281.0,2349.89990234375,2349.89990234375,1575073,PIDILITIND.NS
2023-03-19,2330.0,2398.39990234375,2320.14990234375,2364.550048828125,2364.550048828125,2178928,PIDILITIND.NS
2023-03-26,2356.0,2370.0,2305.0,2353.0,2353.0,1343723,PIDILITIND.NS
2023-04-02,2350.0,2350.0,2296.300048828125,2332.050048828125,2332.050048828125,1006156,PIDILITIND.NS
2023-04-09,2333.949951171875,2366.699951171875,2312.35009765625,2350.199951171875,2350.199951171875,1380479,PIDILITIND.NS
2023-04-16,2358.0,2448.800048828125,2348.949951171875,2440.14990234375,2440.14990234375,1367147,PIDILITIND.NS
2023-04-23,2450.0,2450.39990234375,2376.0,2419.25,2419.25,1352356,PIDILITIND.NS
2023-04-30,2419.25,2486.89990234375,2406.0,2472.10009765625,2472.10009765625,1366968,PIDILITIND.NS
2023-05-07,2480.35009765625,2613.75,2400.14990234375,2587.25,2587.25,4493585,PIDILITIND.NS
2023-05-14,2587.0,2600.0,2523.050048828125,2566.60009765625,2566.60009765625,1814512,PIDILITIND.NS
2023-05-21,2563.10009765625,2591.300048828125,2496.0,2586.14990234375,2586.14990234375,1344691,PIDILITIND.NS
2023-05-28,2595.550048828125,2669.0,2570.0,2632.449951171875,2632.449951171875,1638398,PIDILITIND.NS
2023-06-04,2639.0,2678.0,2609.800048828125,2614.949951171875,2614.949951171875,689713,PIDILITIND.NS
2023-06-11,2616.25,2735.0,2607.75,2697.699951171875,2697.699951171875,2459314,PIDILITIND.NS
2023-06-18,2709.0,2718.949951171875,2632.10009765625,2658.300048828125,2658.300048828125,2047857,PIDILITIND.NS
2023-06-25,2650.0,2669.0,2623.949951171875,2630.89990234375,2630.89990234375,243751,PIDILITIND.NS
