date,CumulativeReturns
2021-06-27,
2021-07-04,0.9948123131194074
2021-07-11,1.027173913862927
2021-07-18,1.0494071161144127
2021-07-25,1.0125988296870305
2021-08-01,1.0585474627512896
2021-08-08,1.0447134551613988
2021-08-15,1.0321146254743685
2021-08-22,1.0172924906400447
2021-08-29,1.0405138955252393
2021-09-05,1.0506422940172733
2021-09-12,1.1420454588289364
2021-09-19,1.1781126686703127
2021-09-26,1.1627965079084104
2021-10-03,1.1447628652930841
2021-10-10,1.2675395036038337
2021-10-17,1.168972397422712
2021-10-24,1.1027668165958335
2021-10-31,1.1193182306498723
2021-11-07,1.1506917041489586
2021-11-14,1.1734190077172988
2021-11-21,1.1067194009628418
2021-11-28,1.0951086985202445
2021-12-05,1.1665020416169916
2021-12-12,1.076828080635767
2021-12-19,1.0770751312941944
2021-12-26,1.0773221819526217
2022-01-02,1.0790513857830606
2022-01-09,1.0998024348625346
2022-01-16,1.0723814703411805
2022-01-23,1.0750988768053285
2022-01-30,1.1576087456385424
2022-02-06,1.1484683990016655
2022-02-13,1.096343876423105
2022-02-20,1.0570652341900022
2022-02-27,1.1141304683800042
2022-03-06,1.1677372195198523
2022-03-13,1.2099802434862543
2022-03-20,1.2517293169143537
2022-03-27,1.2514822662559266
2022-04-03,1.3231225092325487
2022-04-10,1.3317687545525707
2022-04-17,1.2900198319030236
2022-04-24,1.2823616384381582
2022-05-01,1.3174407210351018
2022-05-08,1.2776680528744206
2022-05-15,1.3833992512035531
2022-05-22,1.3300396261114085
2022-05-29,1.3473321167514527
2022-06-05,1.334733211675146
2022-06-12,1.3008893069810628
2022-06-19,1.3134882120573694
2022-06-26,1.4048913768690328
2022-07-03,1.4478754774214402
2022-07-10,1.4503458332271608
2022-07-17,1.4849308145072497
2022-07-24,1.497282593535853
2022-07-31,1.5358202345722263
2022-08-07,1.5244565073987797
2022-08-14,1.541502022769673
2022-08-21,1.5459486330642596
2022-08-28,1.5965909270815326
2022-09-04,1.6329051875813363
2022-09-11,1.6368576965590682
2022-09-18,1.7114624720475415
2022-09-25,1.6413044576322073
2022-10-02,1.650691779538235
2022-10-09,1.6408103563153524
2022-10-16,1.7075099630698094
2022-10-23,1.7084980149249662
2022-10-30,1.7470356559613396
2022-11-06,1.760622612892803
2022-11-13,1.6850296347706202
2022-11-20,1.6813241010620392
2022-11-27,1.6657608896417098
2022-12-04,1.686758913990335
2022-12-11,1.655632491149676
2022-12-18,1.61413054376928
2022-12-25,1.6380928744619279
2023-01-01,1.6553853651019723
2023-01-08,1.6242589422613134
2023-01-15,1.6531621353439552
2023-01-22,1.709486217558675
2023-01-29,1.880681844739404
2023-02-05,1.8347332870644213
2023-02-12,1.8942688016708673
2023-02-19,1.9026680717217384
2023-02-26,1.901926995135733
2023-03-05,1.9169961052392073
2023-03-12,1.855484185365343
2023-03-19,1.871047547564225
2023-03-26,1.8947629029877215
2023-04-02,1.913784672847481
2023-04-09,1.9545455436418713
2023-04-16,2.0170455153708926
2023-04-23,2.1025197659374055
2023-04-30,2.1183301034054383
2023-05-07,2.0773222573418972
2023-05-14,2.074357800219322
2023-05-21,2.1916997009910517
2023-05-28,2.1907114983573424
2023-06-04,2.16625506634784
2023-06-11,2.238636461299744
2023-06-18,2.1973814891884986
2023-06-25,2.202075225530789
