date,CumulativeReturns
2021-06-27,
2021-07-04,1.0065398027062946
2021-07-11,0.9813297367065216
2021-07-18,0.9856544961755224
2021-07-25,0.998734187429192
2021-08-01,1.080587863753724
2021-08-08,1.010512957110191
2021-08-15,1.0056607900435335
2021-08-22,1.0590696509375477
2021-08-29,1.1009106536849773
2021-09-05,1.0864596511727522
2021-09-12,1.0409267952417258
2021-09-19,1.0278822129899186
2021-09-26,1.0257725825992918
2021-10-03,1.088498977718574
2021-10-10,1.1577299807012082
2021-10-17,1.0850532309123344
2021-10-24,1.0010899241971756
2021-10-31,1.0473962941032156
2021-11-07,1.199113879695786
2021-11-14,1.1875461073902818
2021-11-21,1.174044507226703
2021-11-28,1.2011532062416077
2021-12-05,1.2238669277837873
2021-12-12,1.156991661569137
2021-12-19,1.1941914087843235
2021-12-26,1.2021025227491735
2022-01-02,1.1948243150697273
2022-01-09,1.3151787460231967
2022-01-16,1.2857142243992274
2022-01-23,1.191026963198383
2022-01-30,1.2357511961525334
2022-02-06,1.2406736670639957
2022-02-13,1.2209837834181465
2022-02-20,1.1382862034327155
2022-02-27,1.1356843602873747
2022-03-06,1.2194366696270387
2022-03-13,1.2795963306028424
2022-03-20,1.3128933131000176
2022-03-27,1.437115399769636
2022-04-03,1.5266339978405807
2022-04-10,1.5466754865515346
2022-04-17,1.5986076233403264
2022-04-24,1.6398860236471566
2022-05-01,1.580605375334114
2022-05-08,1.4444990202957493
2022-05-15,1.5608100788415977
2022-05-22,1.4627824836811805
2022-05-29,1.5400301851574925
2022-06-05,1.5492423065360934
2022-06-12,1.4737878252282461
2022-06-19,1.519953501603596
2022-06-26,1.5697056183158757
2022-07-03,1.6124960234119516
2022-07-10,1.691396165684958
2022-07-17,1.7576033307712617
2022-07-24,1.8066874321962751
2022-07-31,1.897542146682833
2022-08-07,2.0143806128263386
2022-08-14,2.201188315243469
2022-08-21,2.2077633986337863
2022-08-28,2.3598325892914613
2022-09-04,2.4269187670405263
2022-09-11,2.6034245097229602
2022-09-18,2.583805015762996
2022-09-25,2.4301184074694087
2022-10-02,2.304841591445557
2022-10-09,2.256952912905467
2022-10-16,2.328961561565994
2022-10-23,2.3369782600596722
2022-10-30,2.695580231623269
2022-11-06,2.819063999160816
2022-11-13,2.826764115750171
2022-11-20,2.7432931076308065
2022-11-27,2.758341735744412
2022-12-04,2.8105902827553653
2022-12-11,2.7993389206720227
2022-12-18,2.561231901910425
2022-12-25,2.7132308745643754
2023-01-01,2.6892513404513876
2023-01-08,2.6167503073539855
2023-01-15,2.430399622848627
2023-01-22,1.9418795797289359
2023-01-29,1.1158538689519153
2023-02-05,1.2987939156528965
2023-02-12,1.2114200569744404
2023-02-19,0.9251784249775558
2023-02-26,1.3216834397276283
2023-03-05,1.3334270145656846
2023-03-12,1.319609004179944
2023-03-19,1.2240427303163384
2023-03-26,1.2309341380877374
2023-04-02,1.2334657632293538
2023-04-09,1.3155303510883003
2023-04-16,1.2678878647666472
2023-04-23,1.3536443058091905
2023-04-30,1.3503744473765833
2023-05-07,1.3815969084849944
2023-05-14,1.3755142095315518
2023-05-21,1.78921276346988
2023-05-28,1.719383963203704
2023-06-04,1.7236734419886819
2023-06-11,1.7647762114451206
2023-06-18,1.5706550206645216
2023-06-25,1.614289243580416
