date,CumulativeReturns
2021-06-27,
2021-07-04,0.9780450716265429
2021-07-11,0.9729392678883533
2021-07-18,0.9738469524803189
2021-07-25,0.967152718019163
2021-08-01,1.0221819360863176
2021-08-08,1.1068815054364813
2021-08-15,1.1256027858098432
2021-08-22,1.1119305918724034
2021-08-29,1.1640664657530677
2021-09-05,1.1845464672599888
2021-09-12,1.1433596642889716
2021-09-19,1.1287229992054033
2021-09-26,1.0416973971952148
2021-10-03,1.0025529018690944
2021-10-10,1.024734837955412
2021-10-17,1.0044250576071887
2021-10-24,1.016281882360697
2021-10-31,1.0206501534137231
2021-11-07,1.0470868566966371
2021-11-14,1.0385771837996545
2021-11-21,0.9930788270778784
2021-11-28,1.0455551432759382
2021-12-05,1.104101665106421
2021-12-12,1.0389743434193173
2021-12-19,1.04203783951261
2021-12-26,1.0685879774000588
2022-01-02,1.070573567742688
2022-01-09,1.1197027320842223
2022-01-16,1.0453282048149726
2022-01-23,1.0593975583720754
2022-01-30,1.0466897663288688
2022-02-06,1.065240825543533
2022-02-13,1.1060305381467823
2022-02-20,1.0887842538918517
2022-02-27,1.0775515272189717
2022-03-06,1.1296874703515314
2022-03-13,1.161059756213937
2022-03-20,1.232597725850859
2022-03-27,1.2897259688651779
2022-04-03,1.2831452382604522
2022-04-10,1.2310092258759973
2022-04-17,1.2034946168424199
2022-04-24,1.1691722694912565
2022-05-01,1.144380783485472
2022-05-08,1.1349634259965236
2022-05-15,1.1444942873419022
2022-05-22,1.1519260544882213
2022-05-29,1.1456289103948332
2022-06-05,1.1442106315786693
2022-06-12,1.1059738208445147
2022-06-19,1.130708589548032
2022-06-26,1.1642366869117646
2022-07-03,1.2688490154942793
2022-07-10,1.2797980171520311
2022-07-17,1.3612072211998318
2022-07-24,1.3920122647876674
2022-07-31,1.3302320949570896
2022-08-07,1.417995160400546
2022-08-14,1.3892324937095029
2022-08-21,1.3689227133612794
2022-08-28,1.3633630327011592
2022-09-04,1.3841266899713132
2022-09-11,1.351789932962779
2022-09-18,1.383105501522917
2022-09-25,1.3568389501468057
2022-10-02,1.4055143068183047
2022-10-09,1.3452658504084256
2022-10-16,1.3725534517291422
2022-10-23,1.4667271651224172
2022-10-30,1.5112044718995876
2022-11-06,1.5293016541923212
2022-11-13,1.5315709002981832
2022-11-20,1.5649288457551134
2022-11-27,1.6362398769310702
2022-12-04,1.728030909613948
2022-12-11,1.6166109812176377
2022-12-18,1.5749135840224227
2022-12-25,1.5662336899667422
2023-01-01,1.6240426791120615
2023-01-08,1.6596698706748538
2023-01-15,1.642083213354423
2023-01-22,1.5682192803093715
2023-01-29,1.6400976230117936
2023-02-05,1.8163046385334976
2023-02-12,1.8366142803779304
2023-02-19,1.7827196853637068
2023-02-26,1.8151132289264036
2023-03-05,1.9072445654228865
2023-03-12,1.905202327029885
2023-03-19,1.8405288130128168
2023-03-26,1.8489816993556365
2023-04-02,1.7904919640793167
2023-04-09,1.7571906666727586
2023-04-16,1.7524253052519645
2023-04-23,1.787768841051524
2023-04-30,1.8107449578733772
2023-05-07,1.858569347255178
2023-05-14,1.8604413644894817
2023-05-21,1.9686277833894874
2023-05-28,1.9892778675513159
2023-06-04,2.022806034166944
2023-06-11,2.0914507288692707
2023-06-18,2.0953083364462035
2023-06-25,2.122709510875245
