date,open,high,low,close,adjclose,volume,ticker,entryPrice,stopLoss
27-06-21,867,883,848.5,874.2999878,868.0075684,4060398,AARTIIND.NS,,
04-07-21,879.5,879.5,841.0999756,853.1500244,847.0099487,6175612,AARTIIND.NS,,
11-07-21,860.2999878,865,848,856.9500122,850.7825317,2820844,AARTIIND.NS,,
18-07-21,855,897,840.5,890.9000244,884.4882813,5909143,AARTIIND.NS,,
25-07-21,891,941.9500122,867.7999878,934.7999878,928.0722656,5595359,AARTIIND.NS,,
01-08-21,946,987,916.75,956.25,949.3678589,7603265,AARTIIND.NS,,
08-08-21,965,966,901.0999756,938,931.2492065,6422332,AARTIIND.NS,,
15-08-21,938,973.9500122,921.6500244,930.0499878,923.3563843,6312485,AARTIIND.NS,,
22-08-21,936,942.2999878,893.9500122,926.5,919.8319702,3565171,AARTIIND.NS,,
29-08-21,935.7000122,946.2000122,896.3499756,913.2999878,906.7269287,7322621,AARTIIND.NS,,
05-09-21,916.0499878,926,884,909.5999756,903.0535889,3218819,AARTIIND.NS,,
12-09-21,911.8499756,963.6500244,908,926.0499878,919.3851929,7073104,AARTIIND.NS,,
19-09-21,919,928.9500122,880.5,915.9000244,909.3082886,3673895,AARTIIND.NS,,
26-09-21,923,949.7999878,916.3499756,942,936.7376709,4450902,AARTIIND.NS,,
03-10-21,948.9500122,1123.699951,945.5499878,1109.300049,1103.103271,16049384,AARTIIND.NS,,
10-10-21,1114,1131.800049,1088.150024,1107.449951,1101.263428,2738787,AARTIIND.NS,,
17-10-21,1113,1168,970.5,1010.099976,1004.457275,7956298,AARTIIND.NS,,
24-10-21,1018,1028.849976,946.9500122,964.0999756,958.7142334,3220409,AARTIIND.NS,,
31-10-21,970,996,936.6500244,958.5499878,953.1952515,2340646,AARTIIND.NS,,
07-11-21,960,966.6500244,923.2999878,948.2999878,943.0025635,3785572,AARTIIND.NS,,
14-11-21,948.2999878,995,945,972.7000122,968.2813721,3896739,AARTIIND.NS,,
21-11-21,969,969,900,929.2999878,925.0784302,4474407,AARTIIND.NS,,
28-11-21,919.2999878,983,905.1500244,959,954.6435547,4131563,AARTIIND.NS,,
05-12-21,958,988,945,975.9000244,971.4667969,3623349,AARTIIND.NS,,
12-12-21,982.5,1014.799988,957,969.9500122,965.5438232,3237676,AARTIIND.NS,,
19-12-21,950.0499878,972,903.1500244,956.5999756,952.2544556,2471817,AARTIIND.NS,,
26-12-21,956,1007.700012,945,1004.599976,1000.036438,2871492,AARTIIND.NS,,
02-01-22,1005.950012,1036,980,1030.949951,1026.266602,4578692,AARTIIND.NS,,
09-01-22,1034.800049,1116,1027.050049,1098.150024,1093.161499,5000346,AARTIIND.NS,,
16-01-22,1093.300049,1118,1012.650024,1019.950012,1015.316772,2785887,AARTIIND.NS,,
23-01-22,1024,1028.5,950,991.75,987.244812,2658845,AARTIIND.NS,,
30-01-22,1005,1040.949951,982.1500244,1002.900024,998.3442383,2858373,AARTIIND.NS,,
06-02-22,1038,1038,960.4000244,987.6500244,983.1635132,5134228,AARTIIND.NS,,
13-02-22,950,999,947,957.9500122,953.5983276,2552861,AARTIIND.NS,,
20-02-22,952.3499756,960.7999878,861,933.3499756,930.0753174,4222879,AARTIIND.NS,,
27-02-22,926,929.9000244,825,829.5499878,826.6394653,3799804,AARTIIND.NS,,
06-03-22,800,863,782.5499878,845.2000122,842.2345581,5195816,AARTIIND.NS,,
13-03-22,845.1500244,898.5499878,835.2000122,891.5999756,888.4718018,4213830,AARTIIND.NS,,
20-03-22,892,935,888,923.1500244,919.9111328,4134336,AARTIIND.NS,,
27-03-22,923.1500244,977.3499756,904.25,956.4000244,953.0444336,3929011,AARTIIND.NS,,
03-04-22,956.4000244,990,956,969.6500244,966.2479858,2366427,AARTIIND.NS,,
10-04-22,970,975.0499878,940,952.7999878,949.4570923,1207000,AARTIIND.NS,,
17-04-22,945.6500244,954.2999878,919.2000122,922.25,919.0142212,2146352,AARTIIND.NS,,
24-04-22,910,912.7999878,869.2999878,887.9500122,884.8345947,3014546,AARTIIND.NS,,
01-05-22,870.9500122,881.8499756,790,793.4500122,790.6661377,3782331,AARTIIND.NS,,
08-05-22,793.4500122,800.9000244,725.0999756,751.9500122,749.3117676,4720161,AARTIIND.NS,,
15-05-22,756.8499756,791.5,743,767.0499878,764.3587646,3135838,AARTIIND.NS,,
22-05-22,767.0999756,778.7000122,717.5999756,765.9000244,763.2128296,2743839,AARTIIND.NS,,
29-05-22,770,819.9000244,719,720.5,717.9720459,7577760,AARTIIND.NS,,
