date,open,high,low,close,adjclose,volume,ticker
2022-09-04,21193.849609375,25550.0,20801.0,24505.599609375,24407.83203125,1101626,SHREECEM.NS
2022-09-11,24599.0,25000.0,23211.0,23317.69921875,23224.671875,698172,SHREECEM.NS
2022-09-18,23400.0,23735.30078125,21151.150390625,21201.44921875,21116.865234375,529699,SHREECEM.NS
2022-09-25,21150.0,21990.0,20585.94921875,21033.099609375,20949.1875,1181403,SHREECEM.NS
2022-10-02,21102.0,21446.44921875,20611.19921875,21283.75,21198.837890625,256179,SHREECEM.NS
2022-10-09,21100.0,21499.0,20685.0,21188.5,21103.96875,317905,SHREECEM.NS
2022-10-16,20725.0,22198.30078125,20150.0,20935.19921875,20851.67578125,493365,SHREECEM.NS
2022-10-23,21250.0,21820.0,20998.349609375,21779.849609375,21692.95703125,195458,SHREECEM.NS
2022-10-30,21760.5,23037.19921875,21760.5,22963.599609375,22871.986328125,380921,SHREECEM.NS
2022-11-06,22970.0,23676.900390625,22303.0,22864.0,22772.783203125,187125,SHREECEM.NS
2022-11-13,22864.0,23391.94921875,22800.0,23148.0,23055.650390625,166581,SHREECEM.NS
2022-11-20,23050.0,23387.94921875,22900.0,23204.349609375,23111.775390625,148518,SHREECEM.NS
2022-11-27,23120.19921875,24162.0,23120.19921875,24094.849609375,23998.720703125,165795,SHREECEM.NS
2022-12-04,24090.0,24612.900390625,23550.0,24441.55078125,24344.0390625,141314,SHREECEM.NS
2022-12-11,24370.05078125,24575.0,23633.0,23725.80078125,23631.14453125,115837,SHREECEM.NS
2022-12-18,23775.0,23940.599609375,23170.55078125,23271.400390625,23178.55859375,159335,SHREECEM.NS
2022-12-25,23289.94921875,24442.0,23055.400390625,23289.44921875,23196.53515625,203317,SHREECEM.NS
2023-01-01,23296.5,24590.0,23139.0,23853.05078125,23757.88671875,212452,SHREECEM.NS
2023-01-08,23972.349609375,24290.25,23205.0,24139.75,24043.443359375,148441,SHREECEM.NS
2023-01-15,24120.0,24773.0,23817.0,24420.94921875,24323.521484375,139306,SHREECEM.NS
2023-01-22,24449.94921875,24549.5,21410.0,21901.19921875,21813.822265625,251238,SHREECEM.NS
2023-01-29,21860.0,24742.80078125,21860.0,24467.599609375,24369.984375,375375,SHREECEM.NS
2023-02-05,24318.94921875,24604.849609375,22752.0,23970.599609375,23874.966796875,293468,SHREECEM.NS
2023-02-12,23999.0,26050.05078125,23812.400390625,25757.400390625,25654.638671875,389633,SHREECEM.NS
2023-02-19,25600.0,27049.0,25200.0,25412.80078125,25357.259765625,519841,SHREECEM.NS
2023-02-26,25350.0,26789.0,24880.0,25655.900390625,25599.828125,270456,SHREECEM.NS
2023-03-05,25750.0,26663.849609375,25150.0,26181.75,26124.52734375,214180,SHREECEM.NS
2023-03-12,26030.05078125,26151.0,25034.94921875,25161.75,25106.7578125,204924,SHREECEM.NS
2023-03-19,25327.150390625,25700.0,24751.599609375,25511.650390625,25455.892578125,180133,SHREECEM.NS
2023-03-26,25450.0,26425.0,25031.0,26186.94921875,26129.71484375,144235,SHREECEM.NS
2023-04-02,26299.94921875,26599.900390625,25830.0,26164.69921875,26107.513671875,78809,SHREECEM.NS
2023-04-09,26125.099609375,26484.0,25775.25,25808.19921875,25751.79296875,127815,SHREECEM.NS
2023-04-16,25850.0,26100.0,23830.05078125,23887.05078125,23834.84375,131057,SHREECEM.NS
2023-04-23,24048.19921875,24400.0,23550.0,24334.44921875,24281.263671875,176212,SHREECEM.NS
2023-04-30,24334.44921875,24620.0,23951.19921875,24516.19921875,24462.6171875,112380,SHREECEM.NS
2023-05-07,24520.0,24935.0,24068.94921875,24750.849609375,24696.75390625,114737,SHREECEM.NS
2023-05-14,24750.849609375,25050.0,23727.599609375,24408.650390625,24355.302734375,106817,SHREECEM.NS
2023-05-21,24327.19921875,25450.0,23705.75,24977.0,24922.41015625,260904,SHREECEM.NS
2023-05-28,25050.0,25885.0,24969.94921875,25038.400390625,24983.677734375,371062,SHREECEM.NS
2023-06-04,25168.94921875,26137.900390625,24707.650390625,25447.80078125,25447.80078125,213018,SHREECEM.NS
2023-06-11,25550.0,26400.0,25380.55078125,26213.150390625,26213.150390625,134145,SHREECEM.NS
2023-06-18,26419.80078125,26580.0,25066.0,25145.25,25145.25,175524,SHREECEM.NS
2023-06-25,22630.75,24145.0,22605.599609375,23702.150390625,23702.150390625,438935,SHREECEM.NS
