date,open,high,low,close,adjclose,volume,ticker
2021-06-27,3000.0,3020.0,2867.550048828125,2875.60009765625,2712.974365234375,972825,HDFCAMC.NS
2021-07-04,2885.0,2954.0,2870.0,2920.949951171875,2787.63818359375,928128,HDFCAMC.NS
2021-07-11,2926.89990234375,3289.0,2920.10009765625,3094.449951171875,2953.2197265625,4676291,HDFCAMC.NS
2021-07-18,3050.0,3050.0,2865.25,2899.60009765625,2767.2626953125,2245421,HDFCAMC.NS
2021-07-25,2899.60009765625,2900.5,2810.050048828125,2854.14990234375,2723.886962890625,946870,HDFCAMC.NS
2021-08-01,2890.0,2939.35009765625,2833.14990234375,2923.050048828125,2789.642333984375,1091484,HDFCAMC.NS
2021-08-08,2950.0,3001.60009765625,2863.75,2939.550048828125,2805.389404296875,1552754,HDFCAMC.NS
2021-08-15,2922.199951171875,3025.0,2890.0,2938.199951171875,2804.100830078125,946741,HDFCAMC.NS
2021-08-22,2959.300048828125,3053.0,2851.85009765625,3030.300048828125,2891.99755859375,1338334,HDFCAMC.NS
2021-08-29,3059.0,3199.0,3040.949951171875,3164.14990234375,3019.738525390625,1733671,HDFCAMC.NS
2021-09-05,3197.0,3365.0,3100.10009765625,3248.39990234375,3100.143310546875,2885367,HDFCAMC.NS
2021-09-12,3258.5,3338.0,3158.39990234375,3268.800048828125,3119.612548828125,2003323,HDFCAMC.NS
2021-09-19,3255.0,3292.0,3151.89990234375,3208.199951171875,3061.778076171875,1808183,HDFCAMC.NS
2021-09-26,3230.0,3238.0,2875.64990234375,2932.25,2798.422607421875,9207975,HDFCAMC.NS
2021-10-03,2930.0,2939.89990234375,2885.10009765625,2893.75,2761.6796875,2945160,HDFCAMC.NS
2021-10-10,2907.699951171875,2964.5,2894.0,2950.14990234375,2815.505615234375,1364763,HDFCAMC.NS
2021-10-17,2979.0,2979.0,2766.449951171875,2781.39990234375,2654.457275390625,1687843,HDFCAMC.NS
2021-10-24,2785.14990234375,2802.550048828125,2600.10009765625,2647.199951171875,2526.382080078125,2415069,HDFCAMC.NS
