,Close,Returns,ATR,StopLoss
2020-02-24,23831.599609375,-0.02359123757690995,892.048828125,1784.09765625
2020-02-25,23572.05078125,-0.010890952868430115,520.94921875,1041.8984375
2020-02-26,23465.150390625,-0.004535048376445583,444.201171875,888.40234375
2020-02-27,23812.55078125,0.014804950526283278,790.5,1581.0
2020-02-28,22670.94921875,-0.04794117072913062,1265.05078125,2530.1015625
2020-03-02,23042.0,0.016366795129298062,627.599609375,1255.19921875
2020-03-03,23593.150390625,0.023919381591224642,794.94921875,1589.8984375
2020-03-04,23256.0,-0.014290181050131023,1095.5,2191.0
2020-03-05,23066.19921875,-0.008161368302803562,580.30078125,1160.6015625
2020-03-06,23110.44921875,0.0019183914775187105,798.0,1596.0
2020-03-09,21860.150390625,-0.054101017954709674,1288.94921875,2577.8984375
2020-03-11,21894.900390625,0.0015896505458123933,725.75,1451.5
2020-03-12,20273.5,-0.074053791599767,1411.849609375,2823.69921875
2020-03-13,21308.19921875,0.05103702955829048,3362.5,6725.0
2020-03-16,20158.05078125,-0.05397680140365568,2838.0,5676.0
2020-03-17,20005.5,-0.007567734743078147,1446.0,2892.0
2020-03-18,19293.94921875,-0.03556775792906952,2500.0,5000.0
2020-03-19,17731.44921875,-0.08098393865790587,3058.099609375,6116.19921875
2020-03-20,18903.650390625,0.06610859368649136,2159.55078125,4319.1015625
2020-03-23,16959.400390625,-0.10285050558088105,1511.798828125,3023.59765625
2020-03-24,16980.0,0.0012146425522441273,1799.6005859375,3599.201171875
2020-03-25,17438.25,0.026987632508833848,1395.900390625,2791.80078125
2020-03-26,17554.05078125,0.006640619399882475,942.400390625,1884.80078125
2020-03-27,17666.25,0.006391642598518876,1733.548828125,3467.09765625
2020-03-30,16935.44921875,-0.04136705759569803,1499.349609375,2998.69921875
2020-03-31,17546.349609375,0.03607228735029033,799.900390625,1599.80078125
2020-04-01,16549.650390625,-0.056803793435043826,1046.30078125,2092.6015625
2020-04-03,15783.7998046875,-0.04627593742834213,1288.44921875,2576.8984375
2020-04-07,16634.55078125,0.05390026401056125,967.849609375,1935.69921875
2020-04-08,16063.9501953125,-0.03430213376009317,1112.2001953125,2224.400390625
2020-04-09,16935.30078125,0.054242610027000815,875.0,1750.0
2020-04-13,17301.099609375,0.02159978336670565,1579.0009765625,3158.001953125
2020-04-15,18138.55078125,0.04840450553912823,1179.19921875,2358.3984375
2020-04-16,18928.900390625,0.04357291929805074,1797.69921875,3595.3984375
2020-04-17,18946.75,0.0009429818429305126,946.298828125,1892.59765625
2020-04-20,18996.900390625,0.0026469125641601643,407.599609375,815.19921875
2020-04-21,18828.44921875,-0.008867297738642144,762.80078125,1525.6015625
2020-04-22,19217.150390625,0.02064435404950493,1008.05078125,2016.1015625
2020-04-23,18707.75,-0.026507592451038398,573.94921875,1147.8984375
2020-04-24,18587.44921875,-0.0064305317983188726,544.75,1089.5
2020-04-27,19021.849609375,0.023370629585193425,545.0,1090.0
