,Close,Returns,ATR,StopLoss
2020-01-01,993.9000244140625,,20.8499755859375,41.699951171875
2020-01-02,977.0499877929688,-0.016953452266013747,19.4000244140625,38.800048828125
2020-01-03,982.25,0.005322155746378288,22.79998779296875,45.5999755859375
2020-01-06,960.5999755859375,-0.02204125672085777,19.0,38.0
2020-01-07,959.75,-0.0008848382339579075,19.75,39.5
2020-01-08,968.0499877929688,0.008648072719946498,23.79998779296875,47.5999755859375
2020-01-09,971.75,0.003822129284322129,13.95001220703125,27.9000244140625
2020-01-10,1029.25,0.059171597633136175,66.0,132.0
2020-01-13,1070.050048828125,0.03964056237855229,64.25,128.5
2020-01-14,1048.300048828125,-0.020326152055989977,69.0999755859375,138.199951171875
2020-01-15,1083.25,0.0333396447047245,67.8499755859375,135.699951171875
2020-01-16,1112.5999755859375,0.02709436933850684,33.949951171875,67.89990234375
2020-01-17,1108.550048828125,-0.0036400564863212637,32.3499755859375,64.699951171875
2020-01-20,1129.1500244140625,0.018582810589124366,28.0,56.0
2020-01-21,1082.75,-0.0410928781922848,79.9000244140625,159.800048828125
2020-01-22,994.2999877929688,-0.08169015211916997,144.0,288.0
2020-01-23,1003.8499755859375,0.009604734899139045,27.0,54.0
2020-01-24,1019.8499755859375,0.01593863663807027,20.0,40.0
2020-01-27,997.9000244140625,-0.021522725594285586,25.70001220703125,51.4000244140625
2020-01-28,994.5,-0.0034071794076354633,21.0,42.0
2020-01-29,989.2999877929688,-0.005228770444475894,29.0,58.0
2020-01-30,975.6500244140625,-0.013797597844267595,23.85003662109375,47.7000732421875
2020-01-31,984.5499877929688,0.009122085949058611,38.70001220703125,77.4000244140625
2020-02-03,986.7999877929688,0.0022853080370695,43.0,86.0
2020-02-04,999.7999877929688,0.013173895582503148,35.0,70.0
2020-02-05,1010.4000244140625,0.01060215718195101,16.9000244140625,33.800048828125
2020-02-06,1057.0,0.04612032309971603,51.04998779296875,102.0999755859375
2020-02-07,1058.25,0.0011825922421948576,24.5499267578125,49.099853515625
2020-02-10,1038.5,-0.01866288684148354,31.89990234375,63.7998046875
2020-02-11,1042.550048828125,0.0038999025788397645,20.699951171875,41.39990234375
2020-02-12,1065.6500244140625,0.02215718622995899,30.949951171875,61.89990234375
2020-02-13,1081.800048828125,0.015155092238601009,22.699951171875,45.39990234375
2020-02-14,1078.1500244140625,-0.0033740287015298076,23.6500244140625,47.300048828125
2020-02-17,1051.949951171875,-0.024300953159488436,41.1500244140625,82.300048828125
2020-02-18,1068.8499755859375,0.016065426302112495,47.3499755859375,94.699951171875
2020-02-19,1077.75,0.00832672930472178,17.699951171875,35.39990234375
2020-02-20,1138.0999755859375,0.055996265911331555,86.64990234375,173.2998046875
2020-02-24,1088.550048828125,-0.04353741131775557,114.0,228.0
2020-02-25,1111.5999755859375,0.0211748892782897,59.25,118.5
2020-02-26,1139.0,0.024649176876438528,44.64990234375,89.2998046875
2020-02-27,1163.449951171875,0.021466155550373234,62.0,124.0
2020-02-28,1062.699951171875,-0.08659590375892012,88.4000244140625,176.800048828125
2020-03-02,1057.5,-0.004893150852355643,84.0,168.0
2020-03-03,1050.9000244140625,-0.006241111665189147,66.0,132.0
2020-03-04,1046.550048828125,-0.00413928583583667,67.0,134.0
2020-03-05,1052.050048828125,0.005255362613721726,26.5999755859375,53.199951171875
2020-03-06,1030.75,-0.02024623149046101,77.45001220703125,154.9000244140625
2020-03-09,1010.5499877929688,-0.019597392391007773,34.0,68.0
2020-03-11,1005.0499877929688,-0.005442580838590616,47.0,94.0
2020-03-12,875.25,-0.12914779301475543,139.9000244140625,279.800048828125
2020-03-13,929.2999877929688,0.06175377068605403,322.800048828125,645.60009765625
2020-03-16,821.5999755859375,-0.11589369807570138,90.79998779296875,181.5999755859375
2020-03-17,833.9500122070312,0.01503169058918985,79.95001220703125,159.9000244140625
2020-03-18,782.9000244140625,-0.061214685587528184,84.54998779296875,169.0999755859375
2020-03-19,756.4000244140625,-0.03384851088724017,84.64996337890625,169.2999267578125
2020-03-20,771.9500122070312,0.020557889068042234,39.0,78.0
2020-03-23,617.5999755859375,-0.1999482274503782,132.4000244140625,264.800048828125
2020-03-24,579.6500244140625,-0.06144746222807185,89.95001220703125,179.9000244140625
2020-03-25,637.5999755859375,0.09997403386716575,67.5999755859375,135.199951171875
2020-03-26,701.3499755859375,0.09998432001415214,56.3499755859375,112.699951171875
2020-03-27,741.1500244140625,0.056747772458214385,54.4000244140625,108.800048828125
2020-03-30,739.75,-0.0018889892301755529,45.9000244140625,91.800048828125
2020-03-31,742.0499877929688,0.0031091419979301094,45.0,90.0
2020-04-01,734.75,-0.009837595732169802,48.9000244140625,97.800048828125
2020-04-03,736.4500122070312,0.002313728760845457,33.0,66.0
2020-04-07,769.0,0.044198502618556956,28.0,56.0
2020-04-08,760.75,-0.010728218465539618,41.0,82.0
2020-04-09,759.7000122070312,-0.0013802008451774261,28.0,56.0
2020-04-13,737.2000122070312,-0.029616953584921557,36.0,72.0
2020-04-15,737.5,0.00040692863266600376,25.0,50.0
2020-04-16,729.0499877929688,-0.011457643670550799,17.89996337890625,35.7999267578125
2020-04-17,729.9500122070312,0.0012345167397740386,26.45001220703125,52.9000244140625
2020-04-20,760.4000244140625,0.04171520199714007,35.300048828125,70.60009765625
2020-04-21,750.2999877929688,-0.013282530637576562,64.5999755859375,129.199951171875
2020-04-22,732.4000244140625,-0.023857075396681693,37.0,74.0
2020-04-23,743.2999877929688,0.014882527328732076,17.25,34.5
2020-04-24,719.7000122070312,-0.031750270380080825,33.0,66.0
2020-04-27,708.1500244140625,-0.016048336247139416,25.20001220703125,50.4000244140625
2020-04-28,704.2999877929688,-0.005436752790172306,14.85003662109375,29.7000732421875
2020-04-29,690.0,-0.020303830811895796,33.8499755859375,67.699951171875
2020-04-30,723.5999755859375,0.048695616791213814,13.5,27.0
2020-05-04,691.9000244140625,-0.04380866810589079,22.9000244140625,45.800048828125
2020-05-05,676.2999877929688,-0.022546662914638138,34.5999755859375,69.199951171875
2020-05-06,677.0,0.001035061688106298,33.95001220703125,67.9000244140625
2020-05-07,675.1500244140625,-0.0027326079555944904,30.9000244140625,61.800048828125
2020-05-08,674.0999755859375,-0.0015552822189947024,21.5999755859375,43.199951171875
2020-05-11,674.1500244140625,7.424540860045958e-05,26.5999755859375,53.199951171875
2020-05-12,668.3499755859375,-0.008603498654718766,13.79998779296875,27.5999755859375
2020-05-13,701.75,0.04997385446865765,20.54998779296875,41.0999755859375
2020-05-14,709.6500244140625,0.011257605150071237,42.70001220703125,85.4000244140625
2020-05-15,691.7999877929688,-0.025153295296272304,32.449951171875,64.89990234375
